ID;Host ID;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;Geolocation;Features
12417112;67161268;100;1;1;embajadores;centro;28005;40.40591629419043;-3.7026093567661778;apartment;entire home/apt;4;1;1;2;49;343;1470;2;15;2;1125;58;99;10;10;10;10;10;10;moderate;5.52;40.40591629419043, -3.7026093567661778;1
11923938;5542842;100;1;1;embajadores;centro;28005;40.41164456109538;-3.699115490933453;apartment;private room;2;1;1;1;45;315;1350;1;0;2;1125;4;95;10;10;10;10;10;10;strict;0.32;40.41164456109538, -3.6991154909334534;0
6570519;32216379;100;1;1;embajadores;centro;28005;40.41114213878316;-3.702512039848056;apartment;entire home/apt;2;1;1;1;42;294;1260;2;0;3;14;55;92;9;9;10;10;10;9;moderate;2.82;40.411142138783156, -3.702512039848056;0
17715818;120758540;83;1;1;embajadores;centro;28005;40.40929535702033;-3.699168176365975;apartment;private room;2;1;1;1;30;210;900;1;0;2;1115;0;94;10;10;10;10;10;9;flexible;1.0;40.40929535702033, -3.699168176365975;0
15785685;101638573;92;1;1;embajadores;centro;28005;40.40873171236018;-3.709219710293095;apartment;private room;2;1;1;1;26;182;780;1;0;2;1125;17;95;10;9;10;9;10;9;moderate;3.45;40.40873171236018, -3.709219710293095;0
7000595;36702293;100;1;1;embajadores;centro;28005;40.40942066743467;-3.700295922041151;apartment;private room;2;1;1;1;50;350;1500;1;0;7;8;0;94;10;10;10;10;10;9;flexible;1.0;40.40942066743467, -3.700295922041151;0
10381431;31457094;100;5;5;embajadores;centro;28005;40.41057561919375;-3.6969647429604;apartment;entire home/apt;2;1;0;1;33;231;990;1;5;2;1125;22;73;8;8;8;9;8;7;strict;1.5;40.41057561919375, -3.6969647429604;0
222411;1091014;100;6;6;embajadores;centro;28005;40.41130278947448;-3.7078427195745016;apartment;entire home/apt;4;1;1;2;95;665;2850;1;0;3;365;35;85;8;9;9;9;10;8;strict;0.58;40.411302789474476, -3.7078427195745016;0
13555411;57920288;100;1;1;embajadores;centro;28005;40.407279548700856;-3.7067013418493366;apartment;entire home/apt;4;1;1;2;50;350;1500;3;10;2;1125;21;89;9;8;9;9;9;9;flexible;3.32;40.407279548700856, -3.7067013418493366;0
10793671;43875298;92;5;5;embajadores;centro;28005;40.40765613212199;-3.696545305072612;house;entire home/apt;4;1;1;2;35;245;1050;1;8;2;1125;3;67;7;9;7;7;9;7;strict;0.48;40.407656132121986, -3.6965453050726116;0
15969783;103727827;100;1;1;embajadores;centro;28005;40.407971840764894;-3.7053203351021793;apartment;entire home/apt;5;1;2;2;85;595;2550;4;15;2;1125;12;98;10;10;10;10;10;10;flexible;5.29;40.407971840764894, -3.7053203351021793;0
3895070;2067322;100;1;1;embajadores;centro;28005;40.40843748476682;-3.704292968148195;apartment;entire home/apt;4;1;2;3;100;700;3000;4;20;3;1125;129;98;10;10;10;10;9;10;moderate;4.85;40.40843748476682, -3.704292968148195;1
9088445;47391110;100;1;1;embajadores;centro;28005;40.40673599880702;-3.7077533964307032;apartment;entire home/apt;4;1;2;2;59;413;1770;2;10;2;1125;75;96;10;10;10;10;9;10;moderate;4.42;40.40673599880702, -3.7077533964307032;0
4626795;2561320;89;8;8;embajadores;centro;28005;40.40882253098885;-3.7066947965469095;apartment;entire home/apt;2;1;0;1;55;385;1650;1;0;2;1125;25;93;10;10;10;10;10;9;flexible;0.88;40.40882253098885, -3.7066947965469095;0
15961919;3606346;96;8;8;embajadores;centro;28005;40.406742225451424;-3.698861522267253;apartment;entire home/apt;3;1;1;1;76;532;2280;2;10;2;6;2;100;10;10;10;10;10;9;flexible;0.5;40.406742225451424, -3.698861522267253;0
14399580;16487187;100;1;1;embajadores;centro;28005;40.40805593357737;-3.7077109569092825;apartment;private room;2;1;1;2;31;217;930;1;0;1;1125;2;100;10;10;10;10;10;10;flexible;0.28;40.40805593357737, -3.7077109569092825;0
5486086;14040626;100;2;2;embajadores;centro;28005;40.406708263592186;-3.699131991581295;apartment;entire home/apt;8;1;3;5;74;518;2220;2;15;2;30;26;82;8;9;9;10;9;9;strict;1.04;40.406708263592186, -3.699131991581295;0
3323284;4582755;100;3;3;embajadores;centro;28005;40.40957194798085;-3.698163341155044;apartment;private room;2;1;1;1;48;336;1440;1;7;1;1125;5;87;9;9;9;10;10;9;moderate;0.16;40.409571947980844, -3.6981633411550443;0
13743141;80464196;100;1;1;embajadores;centro;28005;40.40973724999829;-3.699243264549322;house;private room;1;1;1;1;29;203;870;1;0;1;3;1;100;10;10;10;10;10;10;flexible;0.71;40.409737249998294, -3.699243264549322;0
11579586;48712480;100;2;2;embajadores;centro;28005;40.40835649660565;-3.6959622011279767;apartment;entire home/apt;4;1;1;2;58;406;1740;2;15;2;30;57;84;9;9;10;10;10;9;moderate;4.4;40.40835649660565, -3.6959622011279767;0
5549260;28770887;100;1;1;embajadores;centro;28005;40.405829528305;-3.7017673632866352;apartment;entire home/apt;2;1;1;1;130;910;3900;1;20;2;1125;2;90;9;9;10;10;10;9;flexible;0.08;40.405829528305, -3.7017673632866352;0
11938763;37330209;100;1;1;embajadores;centro;28005;40.40994070035412;-3.705883434158852;apartment;private room;1;1;1;1;24;168;720;1;0;1;1125;0;94;10;10;10;10;10;9;flexible;1.0;40.40994070035412, -3.7058834341588516;0
12527593;13332064;100;1;1;embajadores;centro;28005;40.41119284301779;-3.705588464809333;apartment;entire home/apt;4;1;2;2;100;700;3000;1;0;1;1125;3;100;10;10;9;10;10;10;strict;2.5;40.41119284301779, -3.7055884648093325;0
